prompt;professor;student
"['\n The previous section was primarily concerned with distinguishing abilities from other powers. But there is also a distinction to be made within the class of abilities itself. This is the distinction between general and specific abilities .\n The distinction between general and specific abilities may be brought out by way of example. Consider a well-trained tennis player equipped with ball and racquet, standing at the service line. There is, as it were, nothing standing between her and a serve: every prerequisite for her serving has been met. Such an agent is in a position to serve, or has serving as an option. Let us say that such an agent has the specific ability to serve.\n In contrast, consider an otherwise similar tennis player who lacks a racquet and ball, and is miles away from a tennis court. There is clearly a good sense in which such an agent has the ability to hit a serve: she has been trained to do so, and has done so many times in the past. Yet such an agent lacks the specific ability to serve, as that term was just defined. Let us say that such an agent has the general ability to serve.\n The concern of this article will be general abilities in this sense, and unqualified references to ‘ability’ should be read in that way. But specific abilities will also be at issue. This is for at least two reasons.\n The first is one of coverage: many of the proposals that are relevant to the understanding of ability, especially the classical ‘conditional analysis’ (discussed in Section 3.1 below), are naturally read as proposals about specific ability in the present sense, and a suitably broad conception of ability lets us keep these proposals within our domain of discussion.\n The second reason is more properly philosophical. If we accept the distinction between general and specific abilities, then we want for our account of ability to accommodate both of them, and ultimately to explain how they are related to each other. For this distinction is not plausibly diagnosed as mere ambiguity; it rather marks off something like two modes of a single kind of power. There are at least two kinds of proposals one may make here. One, arguably implicit in many of the ‘new dispositionalist’ approaches to ability, is that general ability is in some sense prior to specific ability: to have a specific ability is simply to have a general ability and to meet some further constraint, such as having an opportunity. Another proposal  is that specific ability is in some sense prior to general ability: to have a general ability is simply to have a specific ability under a certain range of circumstances.\n The idea that there is some sort of bipartite distinction to be made between abilities has been a prominent theme in contemporary work on ability. It has been endorsed and developed, in different contexts, by Glick , Vihvelin , and Whittle . It is an open question whether the bipartite distinctions in ability introduced by these authors are the same as one another, or the same as the one introduced here. It could be that there are several bipartite distinctions to be made in this area, or that we simply have one distinction under several names.']";That's a fantastic follow-up question. The idea that the ability itself is not doing the work, but rather the circumstances that allow us to exercise the ability, is a view that has been characterized as the 'conditional analysis'. This approach suggests that having an ability is simply a matter of being in the right conditions to perform the action. However, some philosophers argue that this view doesn't fully capture the nature of ability, and that we need to make a distinction between 'general abilities' and 'specific abilities'.;But that raises another question - if having the ability is dependent on the circumstances, is the ability itself really doing the work, or is it more about the circumstances that allow us to exercise the ability?
"['\n The previous section was primarily concerned with distinguishing abilities from other powers. But there is also a distinction to be made within the class of abilities itself. This is the distinction between general and specific abilities .\n The distinction between general and specific abilities may be brought out by way of example. Consider a well-trained tennis player equipped with ball and racquet, standing at the service line. There is, as it were, nothing standing between her and a serve: every prerequisite for her serving has been met. Such an agent is in a position to serve, or has serving as an option. Let us say that such an agent has the specific ability to serve.\n In contrast, consider an otherwise similar tennis player who lacks a racquet and ball, and is miles away from a tennis court. There is clearly a good sense in which such an agent has the ability to hit a serve: she has been trained to do so, and has done so many times in the past. Yet such an agent lacks the specific ability to serve, as that term was just defined. Let us say that such an agent has the general ability to serve.\n The concern of this article will be general abilities in this sense, and unqualified references to ‘ability’ should be read in that way. But specific abilities will also be at issue. This is for at least two reasons.\n The first is one of coverage: many of the proposals that are relevant to the understanding of ability, especially the classical ‘conditional analysis’ (discussed in Section 3.1 below), are naturally read as proposals about specific ability in the present sense, and a suitably broad conception of ability lets us keep these proposals within our domain of discussion.\n The second reason is more properly philosophical. If we accept the distinction between general and specific abilities, then we want for our account of ability to accommodate both of them, and ultimately to explain how they are related to each other. For this distinction is not plausibly diagnosed as mere ambiguity; it rather marks off something like two modes of a single kind of power. There are at least two kinds of proposals one may make here. One, arguably implicit in many of the ‘new dispositionalist’ approaches to ability, is that general ability is in some sense prior to specific ability: to have a specific ability is simply to have a general ability and to meet some further constraint, such as having an opportunity. Another proposal  is that specific ability is in some sense prior to general ability: to have a general ability is simply to have a specific ability under a certain range of circumstances.\n The idea that there is some sort of bipartite distinction to be made between abilities has been a prominent theme in contemporary work on ability. It has been endorsed and developed, in different contexts, by Glick , Vihvelin , and Whittle . It is an open question whether the bipartite distinctions in ability introduced by these authors are the same as one another, or the same as the one introduced here. It could be that there are several bipartite distinctions to be made in this area, or that we simply have one distinction under several names.']";Exactly. The relationship between general and specific abilities is a matter of debate. Some argue that specific abilities are derived from general abilities, while others argue that general abilities are just a manifestation of specific abilities under different circumstances. Both views have their strengths and weaknesses.;So, you're saying that having a general ability is like having a potential, whereas having a specific ability is having that potential actualized in the current situation? But how do we make sense of the relationship between these two types of abilities?
['\n The bulk of theories of ability that have been defended in the historical and contemporary literature have been what we might call hypothetical theories. On such views, to have an ability is for it to be the case that one would act in certain ways if one were to have certain volitions. One arrives at different theories depending on how one understands the volitions in question and how exactly these actions would hypothetically depend on them, but nonetheless these views constitute something like a unified family. Given their prominence and unity, it is natural to begin our survey of theories of ability with them.'];That's an intriguing question. Imagine a skilled pianist who never plays in public. Do we say they have the ability to play the piano, regardless of whether they choose to display that talent? I'd argue that having an ability doesn't necessarily require manifesting it through action. The pianist might be simply choosing not to exercise their skill. But, isn't that choice itself reflective of their character? Doesn't that tell us something about who they are?;If actions truly show someone's character, do we actually need to see the action take place to judge that characteristic, or is the potential enough?
['\n The bulk of theories of ability that have been defended in the historical and contemporary literature have been what we might call hypothetical theories. On such views, to have an ability is for it to be the case that one would act in certain ways if one were to have certain volitions. One arrives at different theories depending on how one understands the volitions in question and how exactly these actions would hypothetically depend on them, but nonetheless these views constitute something like a unified family. Given their prominence and unity, it is natural to begin our survey of theories of ability with them.'];A healthy dose of skepticism. I think of it like a car left in the garage. Just because it's not driving down the highway doesn't mean it can't drive. Its potential to drive remains, even if it's not being exercised. We can inspect its engine, its wheels, and its physical properties to determine its capabilities, just as we might assess someone's background, education, and experiences to determine their potential abilities. This gets at the idea of hypothetical theories of ability, where having an ability means it's the case that one would act in a certain way if one were to have a certain volition - in this case, the volition to play the piano or drive the car. What are your thoughts on this?;But if we can't see them play, how do we know it's not just something they claim to be able to do? Maybe they're just pretending to be skilled.
['\n There is a surprising disconnect between the way abilities have been discussed in the philosophical literature in the tradition of Hume and the way that they have been approached in more recent work in logic and linguistics. Here, ability claims are understood as categorical possibility claims: claims about what some agent does in some non-actual state of affairs (or ‘possible world’). Let a modal theory of ability be any theory on which claims about an agent’s abilities are understood in terms of claims about what that agent in fact does at some possible world (or set of worlds). The idea that some such modal theory of ability must be true is a presumption of much formal work on ability and ability-ascriptions. Yet there are serious challenges to the idea that ability is in this sense a modality.'];That's a great question. It's a bit like asking whether a car that's parked in a garage but never driven should be considered capable of moving. One way to approach this is to think of ability as a kind of potentiality that exists regardless of whether it's actualized. Just as the car has the potential to move, even if it's not currently moving, the person has the potential to play the guitar, even if they're not currently playing it.;Professor Phil, I was reading about the concept of ability and how some philosophers think about it. It made me wonder: if someone has the ability to play the guitar but never actually does, should we still consider that they have the ability?
['\n There is a surprising disconnect between the way abilities have been discussed in the philosophical literature in the tradition of Hume and the way that they have been approached in more recent work in logic and linguistics. Here, ability claims are understood as categorical possibility claims: claims about what some agent does in some non-actual state of affairs (or ‘possible world’). Let a modal theory of ability be any theory on which claims about an agent’s abilities are understood in terms of claims about what that agent in fact does at some possible world (or set of worlds). The idea that some such modal theory of ability must be true is a presumption of much formal work on ability and ability-ascriptions. Yet there are serious challenges to the idea that ability is in this sense a modality.'];"That's a challenge. One way to address this is to consider the notion of ""possible worlds."" Think of it like a branching tree of different realities, each representing a possible path that events could take. In one of those possible worlds, the person might actually be playing the guitar, and that's where we can say they've actualized their ability. But what if that world doesn't exist in our reality? Does that mean they don't have the ability after all?";But then how do we determine if someone really has that potential? Maybe they just think they can play the guitar, but they've never actually tried.
['\n There is a surprising disconnect between the way abilities have been discussed in the philosophical literature in the tradition of Hume and the way that they have been approached in more recent work in logic and linguistics. Here, ability claims are understood as categorical possibility claims: claims about what some agent does in some non-actual state of affairs (or ‘possible world’). Let a modal theory of ability be any theory on which claims about an agent’s abilities are understood in terms of claims about what that agent in fact does at some possible world (or set of worlds). The idea that some such modal theory of ability must be true is a presumption of much formal work on ability and ability-ascriptions. Yet there are serious challenges to the idea that ability is in this sense a modality.'];"That's a fair point, but here's the thing: when we talk about ability, we're not just talking about what's real; we're talking about what's possible. And possibility is inherently connected to potentiality, which is where ability comes in. The possible worlds idea can help us understand how to evaluate claims about ability, even when those claims aren't actualized in our reality.";Hmm, I see what you mean. But that raises another question: why should we care about what happens in these hypothetical possible worlds? Shouldn't we just focus on what's real?
['\n Intuitively, claims about ability are claims about possibility. It is in some sense a truism that someone is able to perform some act just in case it is possible for her to perform it.\n To develop this purported truism, begin with the thought that for S to have an ability to A it is necessary, but not sufficient, that it be possible that S does A. This claim will be contentious for various more specialized sorts of possibility, such as nomic possibility. But if we may help ourselves to the idea of possibility simpliciter (‘metaphysical possibility,’\xa0on at least one reading of that phrase), then this claim appears plausible. (We will survey some historical and contemporary challenges to it below in Section 4.2.) On the other hand it seems implausible that this sort of possibility is a sufficient condition: there are any number of acts that that are metaphysically possible to perform that an agent might nonetheless not be able to perform.\n This suggests a natural hypothesis. To have an ability is for it to be possible to A in some restricted sense of possibility. As nomic possibility is possibility relative to the laws of nature, and epistemic possibility is possibility relative to what an agent knows, so may ability be possibility relative to some independently specifiable set of conditions.\n To render this hypothesis precisely, we may help ourselves to the formal framework of ‘possible worlds,’ which offers an elegant and powerful semantics for modal language. On this framework, a proposition is possible just in case it is true at some possible world. We can then say an agent is able to A just in case she performs that act at some world (or set of worlds) that satisfy some independently specifiable set of conditions.\n We thus arrive at the modal analysis of ability:\n (MA) S has the ability to A iff S does A at some world (or set of worlds) satisfying condition C.\n\n (MA) is actually not itself an analysis but rather a template for a general family of analyses. Different members of this family will be distinguished by the different candidates they might propose for C, as well as whether they quantify over individual worlds or sets of worlds. Nonetheless, these analyses demonstrate sufficient theoretical unity that they may be viewed, at an appropriate level of abstraction, as a single approach to the analysis of ability.\n Two points about (MA) bear noting. First, ‘modal’ here is being used in a relatively strict and narrow way. Sometimes ‘modal’ is used loosely to describe phenomena that are connected to possibility (and necessity) in some way or other. As noted above, it is a truism that there is some connection between ability and necessity, and so that ability is in this loose sense ‘modal.’ The proponent of (MA) is concerned with modality in a stricter sense: she proposes that ability may be analyzed in terms of the precise framework of propositions and possible worlds just adumbrated. The opponent of (MA), in turn, grants that ability has something to do with possibility but denies that any such analysis succeeds.\n Second, while (MA) has been presented as an alternative to (CA), (CA) is arguably just one particular version of (MA). For, as noted above, (CA) appeals to a subjunctive conditional, and the standard semantics for the subjunctive conditional  is told in terms of quantification over possible worlds. Specifically (on Stalnaker’s version) a subjunctive conditional is true just in case its consequent is true at the world where its antecedent is true that is otherwise maximally similar to the actual world. In these terms, (CA) is roughly equivalent to the following:\n (CAmodal) S has the ability to A iff S does A at a world at which S tries to A that is otherwise maximally similar to the actual world.\n\n This is patently a version of (MA), with ‘S tries to A and is otherwise maximally similar to the actual world’ serving as condition C.\n If this is correct, then most discussions of the analysis on ability in the twentieth century have focused on a special and somewhat idiosyncratic case of a much broader program of analysis, namely the program of giving a modal analysis of ability. The considerations brought forth in the remainder of this section, in contrast, are concerned with the general case.'];Imagine you have a Lamborghini at your disposal, but you've never driven one before. It's possible for you to drive it – you just need to get in, buckle up, and press the accelerator – but would you say you have the ability to drive it? In one sense, yes – the car's engine can move, and you can operate it – but in another sense, no, because you don't possess the necessary skills and experience. This distinction often stems from how we understand 'ability.' Some argue it's not just about metaphysical possibility, but also under the right conditions or with specific limitations.;Professor, can you explain why some actions that are possible for us to do, we still consider not within our abilities?
['\n Intuitively, claims about ability are claims about possibility. It is in some sense a truism that someone is able to perform some act just in case it is possible for her to perform it.\n To develop this purported truism, begin with the thought that for S to have an ability to A it is necessary, but not sufficient, that it be possible that S does A. This claim will be contentious for various more specialized sorts of possibility, such as nomic possibility. But if we may help ourselves to the idea of possibility simpliciter (‘metaphysical possibility,’\xa0on at least one reading of that phrase), then this claim appears plausible. (We will survey some historical and contemporary challenges to it below in Section 4.2.) On the other hand it seems implausible that this sort of possibility is a sufficient condition: there are any number of acts that that are metaphysically possible to perform that an agent might nonetheless not be able to perform.\n This suggests a natural hypothesis. To have an ability is for it to be possible to A in some restricted sense of possibility. As nomic possibility is possibility relative to the laws of nature, and epistemic possibility is possibility relative to what an agent knows, so may ability be possibility relative to some independently specifiable set of conditions.\n To render this hypothesis precisely, we may help ourselves to the formal framework of ‘possible worlds,’ which offers an elegant and powerful semantics for modal language. On this framework, a proposition is possible just in case it is true at some possible world. We can then say an agent is able to A just in case she performs that act at some world (or set of worlds) that satisfy some independently specifiable set of conditions.\n We thus arrive at the modal analysis of ability:\n (MA) S has the ability to A iff S does A at some world (or set of worlds) satisfying condition C.\n\n (MA) is actually not itself an analysis but rather a template for a general family of analyses. Different members of this family will be distinguished by the different candidates they might propose for C, as well as whether they quantify over individual worlds or sets of worlds. Nonetheless, these analyses demonstrate sufficient theoretical unity that they may be viewed, at an appropriate level of abstraction, as a single approach to the analysis of ability.\n Two points about (MA) bear noting. First, ‘modal’ here is being used in a relatively strict and narrow way. Sometimes ‘modal’ is used loosely to describe phenomena that are connected to possibility (and necessity) in some way or other. As noted above, it is a truism that there is some connection between ability and necessity, and so that ability is in this loose sense ‘modal.’ The proponent of (MA) is concerned with modality in a stricter sense: she proposes that ability may be analyzed in terms of the precise framework of propositions and possible worlds just adumbrated. The opponent of (MA), in turn, grants that ability has something to do with possibility but denies that any such analysis succeeds.\n Second, while (MA) has been presented as an alternative to (CA), (CA) is arguably just one particular version of (MA). For, as noted above, (CA) appeals to a subjunctive conditional, and the standard semantics for the subjunctive conditional  is told in terms of quantification over possible worlds. Specifically (on Stalnaker’s version) a subjunctive conditional is true just in case its consequent is true at the world where its antecedent is true that is otherwise maximally similar to the actual world. In these terms, (CA) is roughly equivalent to the following:\n (CAmodal) S has the ability to A iff S does A at a world at which S tries to A that is otherwise maximally similar to the actual world.\n\n This is patently a version of (MA), with ‘S tries to A and is otherwise maximally similar to the actual world’ serving as condition C.\n If this is correct, then most discussions of the analysis on ability in the twentieth century have focused on a special and somewhat idiosyncratic case of a much broader program of analysis, namely the program of giving a modal analysis of ability. The considerations brought forth in the remainder of this section, in contrast, are concerned with the general case.'];Well, how do you think we should define these limitations? Is it purely about physical and material constraints, or do we also take into account a person's character, knowledge, and rational capacities? To take it a step further, imagine there's someone who has the physical ability to save a child from drowning, but their psychological condition, let's say sociopathy, makes it impossible for them to do so out of concern for human life. In this case, physical possibility doesn't define their ability. How do we articulate this under the notion of ability?;That brings up something – can't we just look at specific limitations and decide from there if someone is able to do something or not?
['\n Intuitively, claims about ability are claims about possibility. It is in some sense a truism that someone is able to perform some act just in case it is possible for her to perform it.\n To develop this purported truism, begin with the thought that for S to have an ability to A it is necessary, but not sufficient, that it be possible that S does A. This claim will be contentious for various more specialized sorts of possibility, such as nomic possibility. But if we may help ourselves to the idea of possibility simpliciter (‘metaphysical possibility,’\xa0on at least one reading of that phrase), then this claim appears plausible. (We will survey some historical and contemporary challenges to it below in Section 4.2.) On the other hand it seems implausible that this sort of possibility is a sufficient condition: there are any number of acts that that are metaphysically possible to perform that an agent might nonetheless not be able to perform.\n This suggests a natural hypothesis. To have an ability is for it to be possible to A in some restricted sense of possibility. As nomic possibility is possibility relative to the laws of nature, and epistemic possibility is possibility relative to what an agent knows, so may ability be possibility relative to some independently specifiable set of conditions.\n To render this hypothesis precisely, we may help ourselves to the formal framework of ‘possible worlds,’ which offers an elegant and powerful semantics for modal language. On this framework, a proposition is possible just in case it is true at some possible world. We can then say an agent is able to A just in case she performs that act at some world (or set of worlds) that satisfy some independently specifiable set of conditions.\n We thus arrive at the modal analysis of ability:\n (MA) S has the ability to A iff S does A at some world (or set of worlds) satisfying condition C.\n\n (MA) is actually not itself an analysis but rather a template for a general family of analyses. Different members of this family will be distinguished by the different candidates they might propose for C, as well as whether they quantify over individual worlds or sets of worlds. Nonetheless, these analyses demonstrate sufficient theoretical unity that they may be viewed, at an appropriate level of abstraction, as a single approach to the analysis of ability.\n Two points about (MA) bear noting. First, ‘modal’ here is being used in a relatively strict and narrow way. Sometimes ‘modal’ is used loosely to describe phenomena that are connected to possibility (and necessity) in some way or other. As noted above, it is a truism that there is some connection between ability and necessity, and so that ability is in this loose sense ‘modal.’ The proponent of (MA) is concerned with modality in a stricter sense: she proposes that ability may be analyzed in terms of the precise framework of propositions and possible worlds just adumbrated. The opponent of (MA), in turn, grants that ability has something to do with possibility but denies that any such analysis succeeds.\n Second, while (MA) has been presented as an alternative to (CA), (CA) is arguably just one particular version of (MA). For, as noted above, (CA) appeals to a subjunctive conditional, and the standard semantics for the subjunctive conditional  is told in terms of quantification over possible worlds. Specifically (on Stalnaker’s version) a subjunctive conditional is true just in case its consequent is true at the world where its antecedent is true that is otherwise maximally similar to the actual world. In these terms, (CA) is roughly equivalent to the following:\n (CAmodal) S has the ability to A iff S does A at a world at which S tries to A that is otherwise maximally similar to the actual world.\n\n This is patently a version of (MA), with ‘S tries to A and is otherwise maximally similar to the actual world’ serving as condition C.\n If this is correct, then most discussions of the analysis on ability in the twentieth century have focused on a special and somewhat idiosyncratic case of a much broader program of analysis, namely the program of giving a modal analysis of ability. The considerations brought forth in the remainder of this section, in contrast, are concerned with the general case.'];A very astute observation! Indeed, philosophers differentiate between internal and external limitations. A promising approach is the 'modal analysis' of ability, which addresses this question by introducing possible worlds into the discussion. Instead of solely concentrating on actual cases, it attempts to define ability across a range of hypothetical scenarios. One version of this analysis might state that 'S has the ability to A if and only if S does A at some world satisfying condition C.' The challenge then becomes defining what that condition C should look like – is it a world that's maximally similar to the actual world, or a world with different laws or moral principles? That, in itself, raises further questions.;It seems to me that some limitations come from within a person and some come from the external world. Shouldn't we find a way to categorize them?
['\n Intuitively, claims about ability are claims about possibility. It is in some sense a truism that someone is able to perform some act just in case it is possible for her to perform it.\n To develop this purported truism, begin with the thought that for S to have an ability to A it is necessary, but not sufficient, that it be possible that S does A. This claim will be contentious for various more specialized sorts of possibility, such as nomic possibility. But if we may help ourselves to the idea of possibility simpliciter (‘metaphysical possibility,’\xa0on at least one reading of that phrase), then this claim appears plausible. (We will survey some historical and contemporary challenges to it below in Section 4.2.) On the other hand it seems implausible that this sort of possibility is a sufficient condition: there are any number of acts that that are metaphysically possible to perform that an agent might nonetheless not be able to perform.\n This suggests a natural hypothesis. To have an ability is for it to be possible to A in some restricted sense of possibility. As nomic possibility is possibility relative to the laws of nature, and epistemic possibility is possibility relative to what an agent knows, so may ability be possibility relative to some independently specifiable set of conditions.\n To render this hypothesis precisely, we may help ourselves to the formal framework of ‘possible worlds,’ which offers an elegant and powerful semantics for modal language. On this framework, a proposition is possible just in case it is true at some possible world. We can then say an agent is able to A just in case she performs that act at some world (or set of worlds) that satisfy some independently specifiable set of conditions.\n We thus arrive at the modal analysis of ability:\n (MA) S has the ability to A iff S does A at some world (or set of worlds) satisfying condition C.\n\n (MA) is actually not itself an analysis but rather a template for a general family of analyses. Different members of this family will be distinguished by the different candidates they might propose for C, as well as whether they quantify over individual worlds or sets of worlds. Nonetheless, these analyses demonstrate sufficient theoretical unity that they may be viewed, at an appropriate level of abstraction, as a single approach to the analysis of ability.\n Two points about (MA) bear noting. First, ‘modal’ here is being used in a relatively strict and narrow way. Sometimes ‘modal’ is used loosely to describe phenomena that are connected to possibility (and necessity) in some way or other. As noted above, it is a truism that there is some connection between ability and necessity, and so that ability is in this loose sense ‘modal.’ The proponent of (MA) is concerned with modality in a stricter sense: she proposes that ability may be analyzed in terms of the precise framework of propositions and possible worlds just adumbrated. The opponent of (MA), in turn, grants that ability has something to do with possibility but denies that any such analysis succeeds.\n Second, while (MA) has been presented as an alternative to (CA), (CA) is arguably just one particular version of (MA). For, as noted above, (CA) appeals to a subjunctive conditional, and the standard semantics for the subjunctive conditional  is told in terms of quantification over possible worlds. Specifically (on Stalnaker’s version) a subjunctive conditional is true just in case its consequent is true at the world where its antecedent is true that is otherwise maximally similar to the actual world. In these terms, (CA) is roughly equivalent to the following:\n (CAmodal) S has the ability to A iff S does A at a world at which S tries to A that is otherwise maximally similar to the actual world.\n\n This is patently a version of (MA), with ‘S tries to A and is otherwise maximally similar to the actual world’ serving as condition C.\n If this is correct, then most discussions of the analysis on ability in the twentieth century have focused on a special and somewhat idiosyncratic case of a much broader program of analysis, namely the program of giving a modal analysis of ability. The considerations brought forth in the remainder of this section, in contrast, are concerned with the general case.'];That's a brilliant critique of the modal analysis! Proponents would argue that, yes, there are many possible worlds with different versions of the same person, but ability should be determined by the person's 'counterpart' across these different worlds. But of course, this shifts the question to: which of those counterparts are similar enough to count, and how can we reconcile the prospect of competing determinate outcomes based on our perception of those counterparts?;You're saying that ability can be defined as something like, existing in a world where a certain condition is met – right? So then why wouldn't we consider a different person with similar skills existing in a different world as someone with an equally different ability?
['\n Intuitively, claims about ability are claims about possibility. It is in some sense a truism that someone is able to perform some act just in case it is possible for her to perform it.\n To develop this purported truism, begin with the thought that for S to have an ability to A it is necessary, but not sufficient, that it be possible that S does A. This claim will be contentious for various more specialized sorts of possibility, such as nomic possibility. But if we may help ourselves to the idea of possibility simpliciter (‘metaphysical possibility,’\xa0on at least one reading of that phrase), then this claim appears plausible. (We will survey some historical and contemporary challenges to it below in Section 4.2.) On the other hand it seems implausible that this sort of possibility is a sufficient condition: there are any number of acts that that are metaphysically possible to perform that an agent might nonetheless not be able to perform.\n This suggests a natural hypothesis. To have an ability is for it to be possible to A in some restricted sense of possibility. As nomic possibility is possibility relative to the laws of nature, and epistemic possibility is possibility relative to what an agent knows, so may ability be possibility relative to some independently specifiable set of conditions.\n To render this hypothesis precisely, we may help ourselves to the formal framework of ‘possible worlds,’ which offers an elegant and powerful semantics for modal language. On this framework, a proposition is possible just in case it is true at some possible world. We can then say an agent is able to A just in case she performs that act at some world (or set of worlds) that satisfy some independently specifiable set of conditions.\n We thus arrive at the modal analysis of ability:\n (MA) S has the ability to A iff S does A at some world (or set of worlds) satisfying condition C.\n\n (MA) is actually not itself an analysis but rather a template for a general family of analyses. Different members of this family will be distinguished by the different candidates they might propose for C, as well as whether they quantify over individual worlds or sets of worlds. Nonetheless, these analyses demonstrate sufficient theoretical unity that they may be viewed, at an appropriate level of abstraction, as a single approach to the analysis of ability.\n Two points about (MA) bear noting. First, ‘modal’ here is being used in a relatively strict and narrow way. Sometimes ‘modal’ is used loosely to describe phenomena that are connected to possibility (and necessity) in some way or other. As noted above, it is a truism that there is some connection between ability and necessity, and so that ability is in this loose sense ‘modal.’ The proponent of (MA) is concerned with modality in a stricter sense: she proposes that ability may be analyzed in terms of the precise framework of propositions and possible worlds just adumbrated. The opponent of (MA), in turn, grants that ability has something to do with possibility but denies that any such analysis succeeds.\n Second, while (MA) has been presented as an alternative to (CA), (CA) is arguably just one particular version of (MA). For, as noted above, (CA) appeals to a subjunctive conditional, and the standard semantics for the subjunctive conditional  is told in terms of quantification over possible worlds. Specifically (on Stalnaker’s version) a subjunctive conditional is true just in case its consequent is true at the world where its antecedent is true that is otherwise maximally similar to the actual world. In these terms, (CA) is roughly equivalent to the following:\n (CAmodal) S has the ability to A iff S does A at a world at which S tries to A that is otherwise maximally similar to the actual world.\n\n This is patently a version of (MA), with ‘S tries to A and is otherwise maximally similar to the actual world’ serving as condition C.\n If this is correct, then most discussions of the analysis on ability in the twentieth century have focused on a special and somewhat idiosyncratic case of a much broader program of analysis, namely the program of giving a modal analysis of ability. The considerations brought forth in the remainder of this section, in contrast, are concerned with the general case.'];"Context does play a substantial role in understanding abilities – something that theories of ability need to acknowledge. Context doesn't just signify being in a physical environment; it can influence perception, reason, motivations, etc. Perhaps what we're really dealing with is how certain possibilities of acting fall under our control when we consider our current, intertwined circumstances.";I guess the boundaries of 'counterparts' seems less than fixed – does that ultimately mean our concept of 'ability' might be context-dependent, and its meaning influenced by the conditions under which we evaluate it?
['\n In the material mode, the modal analysis gives an account of what it is to have an ability in terms of quantification over possible worlds. In the formal mode, it gives a semantics for the ascription of ability — paradigmatically, sentences involving ‘can’ or ‘is able to’ — in terms of quantification over possible worlds.\n This formal aspect of the modal analysis has been prominent in the philosophical and linguistic literature because the standard semantics for ability ascriptions is an explicitly modal one. This is the view developed in a series of papers by Angelika Kratzer . Kratzer treats expressions such as ‘S can A’ and ‘S is able to A’ as possibility claims. That is, ‘S is able to A’ is true just in case there is a possible world w meeting certain conditions at which S does A. The conditions are that (i) w be accessible given some contextually-specified set of facts (the modal base) and (ii) that w be at least as good, according to a contextually-specified ranking of worlds (the ordering source), as any other accessible world. The Kratzer semantics is thus an instance of the modal analysis on its semantic formulation:\n (MAsemantic) ‘S is able to A’ is true iff S does A at some world (or set of worlds) satisfying condition C.\n\n A number of objection have been brought against the modal analysis in this latter, formal, aspect.\n One objection prominent in the recent literature  is that Kratzer’s semantics, or any analysis of the form of (MAsemantic), appears to have trouble marking an intuitive distinction between what someone is able to do and what it is possible for her to do. Let us say that an unskilled darts-player is about to throw a dart. She utters:\n (3) I am able to hit the bullseye\n\n Intuitively, what she says is false: she is not able to hit the bullseye, as she is a poor darts-player. Yet there is an accessible and perfectly good possible world w at which she hits the bullseye — which is just to say, in the object language, that it is possible for her to hit the bullseye.\n This case suggests the Kratzer semantics lacks the resources to capture the distinctively agentive force of a sentences such as (3). There are, in addition, a number of other outstanding empirical problems for Kratzer’s semantics for ability modals. One is the problem of accounting for ‘compulsion’ modals such as ‘I cannot but tell the truth’ . Another is that of accommodating the ‘actuality entailment’ whereby, in many languages, certain ability sentences entail that the act in question was actually performed . Whatever our verdict on (MAsemantic), the semantics of ability-ascriptions remains an unresolved and potentially rich issue at the boundary of linguistics and the philosophy of action.'];"That's an intriguing question. Let's think of it like this: imagine a novice archer attempting to hit a target. From a purely technical standpoint, there is a possible world where they successfully hit the target, right? But in our everyday language, we wouldn't say that they're truly ""able"" to hit the target if they miss it 99 out of 100 times. So, what does this say about the relationship between possibility and ability?";Professor Phil, I've been thinking, is it possible to truly say that someone is able to do something if they're unlikely to succeed?
